conflict_id,full_conflict_size,context_before_size,conflict_size,context_after_size,resolution_size,parent1_size,parent2_size,base_size
6511a1,13,3,7,3,36,2,2,-1
6526a1,22,3,16,3,41,7,6,-1
6526a2,25,3,19,3,35,1,15,-1
6539a1,10,3,4,3,35,0,1,-1
656a1,22,3,16,3,34,13,0,-1
6638a1,13,3,7,3,37,2,2,-1
6638a2,14,3,8,3,27,0,5,-1
6638a3,13,3,7,3,26,1,3,-1
6644a1,12,3,6,3,34,0,3,-1
6645b1,11,3,5,3,36,2,0,-1
6646a1,14,3,8,3,36,2,3,-1
6650a1,10,3,4,3,35,1,0,-1
6650a2,20,3,14,3,34,11,0,-1
6657a1,13,3,7,3,21,2,2,-1
6658a1,19,3,13,3,44,4,6,-1
6659a1,15,3,9,3,38,6,0,-1
6659a2,47,3,41,3,75,12,26,-1
6660a1,26,3,20,3,50,16,1,-1
6666a1,14,3,8,3,36,2,3,-1
6684a1,11,3,5,3,35,1,1,-1
6685a1,11,3,5,3,35,1,1,-1
671a1,25,3,19,3,53,6,10,-1
6737a1,10,3,4,3,32,0,1,-1
6770a1,11,3,5,3,35,1,1,-1
6776a1,16,3,10,3,23,2,5,-1
6776b1,16,3,10,3,23,2,5,-1
6776c1,16,3,10,3,23,2,5,-1
6776d1,16,3,10,3,23,2,5,-1
6776e1,16,3,10,3,23,2,5,-1
6776e2,14,3,8,3,24,3,2,-1
6776f1,16,3,10,3,23,2,5,-1
6776f2,14,3,8,3,24,3,2,-1
6776g1,16,3,10,3,23,2,5,-1
6777a1,16,3,10,3,23,2,5,-1
6777b1,16,3,10,3,23,2,5,-1
6777c1,16,3,10,3,23,2,5,-1
6777d1,16,3,10,3,23,2,5,-1
6777e1,16,3,10,3,23,2,5,-1
6777e2,14,3,8,3,24,3,2,-1
6777f1,16,3,10,3,23,2,5,-1
6777f2,14,3,8,3,24,3,2,-1
6777g1,16,3,10,3,23,2,5,-1
6825a1,16,3,10,3,39,2,5,-1
682a1,11,3,5,3,35,1,1,-1
6849a1,12,3,6,3,36,2,1,-1
6851a3,12,3,6,3,36,1,2,-1
6851b1,93,3,87,3,34,0,84,-1
686a1,49,3,43,3,40,17,23,-1
687a1,20,3,14,3,26,4,7,-1
687a2,18,3,12,3,22,2,7,-1
6881a1,10,3,4,3,21,1,0,-1
6881a2,10,3,4,3,21,1,0,-1
6881a3,12,3,6,3,36,2,1,-1
6881a4,12,3,6,3,36,2,1,-1
6881b1,11,3,5,3,21,1,1,-1
6881b2,10,3,4,3,21,1,0,-1
6881b3,12,3,6,3,36,2,1,-1
6881b4,12,3,6,3,33,2,1,-1
6881b6,34,3,28,3,42,0,25,-1
6881c1,11,3,5,3,21,2,0,-1
6881c2,10,3,4,3,20,1,0,-1
6881c3,12,3,6,3,36,2,1,-1
6881c4,12,3,6,3,36,2,1,-1
6881d1,11,3,5,3,22,2,0,-1
6881d2,10,3,4,3,21,1,0,-1
6881d3,12,3,6,3,36,2,1,-1
6881d4,12,3,6,3,36,2,1,-1
6881e1,11,3,5,3,21,2,0,-1
6881e2,10,3,4,3,20,1,0,-1
6881e3,12,3,6,3,36,2,1,-1
6881e4,12,3,6,3,36,2,1,-1
6985a1,11,3,5,3,19,1,1,-1
6985a2,33,3,27,3,50,10,14,-1
7012a1,36,3,30,3,62,10,17,-1
7018a1,68,3,62,3,96,48,11,-1
7019a1,76,3,70,3,102,50,17,-1
7025a1,39,3,33,3,65,13,17,-1
703a1,11,3,5,3,35,1,1,-1
703a2,11,3,5,3,35,1,1,-1
703a3,11,3,5,3,35,1,1,-1
703a4,20,3,14,3,39,6,5,-1
703a5,15,3,9,3,37,3,3,-1
703b1,13,3,7,3,36,2,2,-1
703b2,13,3,7,3,36,2,2,-1
703b3,13,3,7,3,36,2,2,-1
705a1,12,3,6,3,36,2,1,-1
7093a1,14,3,8,3,52,2,3,-1
7094a1,10,3,4,3,33,0,1,-1
7094a2,10,3,4,3,33,0,1,-1
7095a1,10,3,4,3,33,0,1,-1
7095a2,10,3,4,3,33,0,1,-1
709a1,40,3,34,3,46,12,19,-1
709b1,17,3,11,3,34,8,0,-1
7100a1,12,3,6,3,35,2,1,-1
7100b1,12,3,6,3,35,2,1,-1
7110a1,11,3,5,3,32,1,1,-1
7118a1,22,3,16,3,47,0,13,-1
711a1,13,3,7,3,34,0,4,-1
711b1,12,3,6,3,34,3,0,-1
7120a1,26,3,20,3,49,2,15,-1
7133a1,15,3,9,3,40,2,4,-1
7134a1,13,3,7,3,21,3,1,-1
7134a2,14,3,8,3,7,3,2,-1
7134a3,15,3,9,3,8,5,1,-1
7134a5,11,3,5,3,35,1,1,-1
7135a2,63,3,57,3,23,33,21,-1
7135a3,12,3,6,3,31,1,2,-1
7135a4,13,3,7,3,33,1,3,-1
7161a1,12,3,6,3,36,2,1,-1
7170a1,25,3,19,3,42,8,8,-1
7239a1,13,3,7,3,36,2,2,-1
7240a1,13,3,7,3,36,2,2,-1
7265a1,13,3,7,3,37,3,1,-1
7265a3,18,3,12,3,19,6,3,-1
7265a4,18,3,12,3,25,6,3,-1
7272a1,15,3,9,3,37,3,3,-1
7276a1,10,3,4,3,34,1,0,-1
7276a2,25,3,19,3,39,11,5,-1
7285a1,14,3,8,3,21,2,3,-1
7285a2,16,3,10,3,16,4,3,-1
7292a1,14,3,8,3,37,2,3,-1
7294a1,11,3,5,3,31,1,1,-1
7294b1,14,3,8,3,32,4,1,-1
7303a1,12,3,6,3,37,1,2,-1
7305a1,11,3,5,3,37,1,1,-1
7305a2,11,3,5,3,36,1,1,-1
7305a4,26,3,20,3,224,8,9,-1
7306a1,11,3,5,3,37,1,1,-1
7306a2,11,3,5,3,36,1,1,-1
7306a3,14,3,8,3,23,2,3,-1
7306a5,24,3,18,3,205,8,7,-1
7307a1,11,3,5,3,36,1,1,-1
7307a3,28,3,22,3,183,8,11,-1
7309a1,11,3,5,3,36,1,1,-1
7309a3,23,3,17,3,180,5,9,-1
7310a1,11,3,5,3,37,1,1,-1
7310a2,11,3,5,3,36,1,1,-1
7310a5,23,3,17,3,265,9,5,-1
7311a1,13,3,7,3,39,1,3,-1
7311a2,12,3,6,3,37,1,2,-1
7312a1,11,3,5,3,36,1,1,-1
7312a3,27,3,21,3,184,9,9,-1
7313a1,11,3,5,3,37,1,1,-1
7313a2,12,3,6,3,37,1,2,-1
7313a4,52,3,46,3,202,10,33,-1
7314a1,10,3,4,3,32,0,1,-1
7320b1,11,3,5,3,35,1,1,-1
7322a1,26,3,20,3,54,10,7,-1
7332a2,10,3,4,3,23,0,1,-1
7332a3,41,3,35,3,28,28,4,-1
7332a4,78,3,72,3,171,34,35,-1
7339a1,10,3,4,3,34,1,0,-1
7342a1,18,3,12,3,34,7,2,-1
7342b3,17,3,11,3,19,6,2,-1
7342b4,33,3,27,3,39,16,8,-1
7342b5,14,3,8,3,26,5,0,-1
7342b6,18,3,12,3,22,2,7,-1
7342b7,21,3,15,3,27,7,5,-1
7342b8,43,3,37,3,63,34,0,-1
7342b9,133,3,129,1,50,126,0,-1
7343a1,26,3,20,3,47,5,12,-1
7343a2,20,3,14,3,34,3,8,-1
7343a3,87,3,81,3,28,15,63,-1
7343a4,37,3,31,3,28,28,0,-1
7348a1,13,3,7,3,34,1,3,-1
7348b1,12,3,6,3,31,1,2,-1
7348b2,16,3,10,3,16,7,0,-1
7348b3,22,3,16,3,38,6,7,-1
7348b4,28,3,22,3,34,19,0,-1
7348b5,62,3,57,2,74,44,10,-1
7350a1,12,3,6,3,36,1,2,-1
7350b1,15,3,9,3,34,3,3,-1
7351a1,10,3,4,3,21,0,1,-1
7351a2,10,3,4,3,8,0,1,-1
7351a3,16,3,10,3,25,1,6,-1
7351a4,11,3,5,3,35,1,1,-1
7351a5,73,3,67,3,34,0,64,-1
7351a6,13,3,7,3,38,0,4,-1
7351b2,22,3,16,3,18,7,6,-1
7351b3,19,3,13,3,21,4,6,-1
7353b1,14,3,8,3,22,5,0,-1
7353b10,55,3,49,3,68,46,0,-1
7353b11,146,3,142,1,64,139,0,-1
7353b2,19,3,13,3,6,10,0,-1
7353b4,17,3,11,3,28,5,3,-1
7353b5,24,3,18,3,20,6,9,-1
7353b6,15,3,9,3,11,6,0,-1
7353b7,17,3,11,3,21,2,6,-1
7353b8,18,3,12,3,18,6,3,-1
7353b9,12,3,6,3,6,3,0,-1
7368a1,12,3,6,3,34,1,2,-1
7368a2,20,3,14,3,25,5,6,-1
7368a3,16,3,10,3,23,3,4,-1
7368b1,11,3,5,3,21,0,2,-1
7368b2,22,3,16,3,19,10,3,-1
7368b3,10,3,4,3,21,0,1,-1
7368b4,37,3,31,3,51,28,0,-1
7368b5,16,3,10,3,19,3,4,-1
7368c1,10,3,4,3,34,0,1,-1
7368c2,15,3,9,3,34,3,3,-1
7368c3,15,3,9,3,34,6,0,-1
7368c4,11,3,5,3,20,1,1,-1
7368c5,12,3,6,3,8,3,0,-1
7368c6,51,3,45,3,63,42,0,-1
7368c7,99,3,95,1,17,92,0,-1
7373a1,12,3,6,3,36,1,2,-1
7373b1,18,3,12,3,36,7,2,-1
7373c1,10,3,4,3,22,1,0,-1
7373c4,18,3,12,3,34,5,4,-1
7373c5,57,3,51,3,34,48,0,-1
7373c6,113,3,109,1,17,106,0,-1
7379a1,15,3,9,3,37,3,3,-1
7379b1,10,3,4,3,21,0,1,-1
7379b2,10,3,4,3,8,0,1,-1
7379b3,16,3,10,3,25,1,6,-1
7379b4,73,3,67,3,98,0,64,-1
7379b5,13,3,7,3,38,0,4,-1
7379c1,18,3,12,3,39,5,4,-1
7379c2,26,3,20,3,48,2,15,-1
7381a1,11,3,5,3,36,1,1,-1
7381a2,11,3,5,3,36,1,1,-1
7381a3,21,3,15,3,49,6,6,-1
7381a4,28,3,22,3,56,11,8,-1
7387a1,13,3,7,3,31,3,1,-1
7387a2,12,3,6,3,30,3,0,-1
7390a1,13,3,7,3,37,3,1,-1
7390a2,14,3,8,3,38,5,0,-1
7403a1,15,3,9,3,37,3,3,-1
7403b1,10,3,4,3,21,0,1,-1
7403b2,10,3,4,3,8,0,1,-1
7403b3,17,3,11,3,25,2,6,-1
7403b4,11,3,5,3,26,1,1,-1
7403b5,12,3,6,3,25,3,0,-1
7403b6,22,3,16,3,39,8,5,-1
7403b7,73,3,67,3,98,0,64,-1
7403c2,19,3,13,3,19,4,6,-1
7403c3,17,3,11,3,24,4,4,-1
7408a1,11,3,5,3,20,2,0,-1
7408a2,13,3,7,3,8,3,1,-1
7408a3,18,3,12,3,26,2,7,-1
7408a4,40,3,34,3,50,0,31,-1
7408a5,11,3,5,3,16,1,1,-1
7408a6,11,3,5,3,20,1,1,-1
7408b1,11,3,5,3,33,1,1,-1
7408b2,10,3,4,3,22,0,1,-1
7408b3,15,3,9,3,25,3,3,-1
7408b4,11,3,5,3,23,1,1,-1
7411a1,15,3,9,3,34,2,4,-1
7412a1,22,3,16,3,34,5,8,-1
7412a2,26,3,20,3,24,0,17,-1
7412a3,10,3,4,3,12,0,1,-1
7422a1,11,3,5,3,31,1,1,-1
7422a2,16,3,10,3,30,0,7,-1
7422a3,14,3,8,3,38,4,1,-1
7422b1,10,3,4,3,35,0,1,-1
7422b2,13,3,7,3,37,1,3,-1
7422b3,32,3,26,3,40,0,23,-1
7423a1,27,3,21,3,23,12,6,-1
